Gene,Correlation_with_RELA
NFKBIE,-0.7243300292385147
KLF2,-0.6852590826944074
NFKB2,-0.6166388304413745
MAP3K8,-0.5125713383003379
NFKBID,-0.3871405854635682
BCL3,-0.3832061682636041
NFKBIA,-0.33057995348796587
GREB1,-0.326187336014106
NFKB1,-0.3009696360286607
EP300,-0.29125401442906734
CITED4,-0.28121998150093475
NFKBIB,0.0006037222404908912
RELB,0.04284068047972393
BRD4,0.06024221255958992
CREBBP,0.08252787083196934
HDAC1,0.24289366264814527
EGR3,0.3092629454184538
NFKBIZ,0.3362956875803613
