,MAP3K8,BCL3,BRD4,RELB,HDAC1,NFKBIB,NFKB2,EP300,CITED4,NFKBIE,NFKBIA,NFKB1,CREBBP,EGR3,NFKBIZ,NFKBID,KLF2,GREB1,RELA
MAP3K8,1.0,0.269725077096606,0.33873305567616674,0.2887262384290729,-0.01038829342534611,0.35161645990219137,0.5878920564805117,0.4565506622870819,0.5372895488066759,0.6688674095586502,0.18785909686880956,0.6551945326302012,0.017890470784019775,-0.026106349867075638,-0.10856670120480953,0.38088308872659177,0.5849001563486422,0.20136237632560294,-0.5125713383003377
BCL3,0.269725077096606,1.0,0.3131118386523581,0.007268168753783942,0.40311455225587534,-0.3307967477653684,0.14967588428902093,-0.08113264142787215,-0.13124223608188493,0.17718159306384315,0.3906705807929192,0.11603956276562209,0.051384958729774693,0.4084375712479335,-0.2007236567181815,0.1987318475174075,0.020638703873391027,0.2813040576067913,-0.3832061682636041
BRD4,0.3387330556761667,0.3131118386523581,1.0,-0.15176581865241448,0.49672256384976404,0.18334803593047735,-0.04042754889058183,0.06375808152866691,0.24720891321351193,0.31068456946461365,0.12498383267799693,0.2067772804338401,0.17371928296828926,0.3619684170014828,0.1272974372589253,0.41781753018408624,0.03552862136677337,-0.1706013820792987,0.06024221255958992
RELB,0.28872623842907297,0.007268168753783943,-0.15176581865241448,1.0,-0.18732499874578018,0.05066355102221216,0.225883981516412,0.6319233046851103,0.4063874002148167,0.27665042725870254,0.10244820371670352,0.311698677846064,-0.370803438188706,-0.08136194578277008,-0.21965655423994632,-0.20225446733050295,0.22096705453118864,-0.019735698970720646,0.04284068047972393
HDAC1,-0.01038829342534611,0.40311455225587534,0.4967225638497641,-0.18732499874578018,0.9999999999999998,-0.21941583095773712,-0.131158648974372,-0.5143249852381875,-0.00846510622032802,-0.0095982976126539,0.2888938336704871,-0.16986388636993993,0.40077620869303293,0.7967177120014043,0.2450039561124254,0.3324183055591952,-0.3632072226727684,0.3821801095237246,0.24289366264814524
NFKBIB,0.3516164599021914,-0.3307967477653683,0.18334803593047735,0.05066355102221216,-0.21941583095773712,0.9999999999999998,-0.06287166166330688,0.45808170227563405,0.2769430514579555,0.2774556524150289,-0.147202221526635,0.2651700356348374,-0.4840509702394532,-0.3447218119640244,-0.20312819856640268,0.19241460931944948,0.13435895331142197,-0.1850356672101364,0.0006037222404908912
NFKB2,0.5878920564805117,0.14967588428902093,-0.04042754889058183,0.225883981516412,-0.131158648974372,-0.06287166166330689,1.0,0.2519782690581722,0.2162743844551724,0.5124633138284208,-0.03188456415948181,0.3396166169304838,0.1517063065384706,-0.010369783057732545,0.21611950259731752,0.04911364438403624,0.601077089577485,0.2230987169115375,-0.6166388304413746
EP300,0.4565506622870819,-0.08113264142787216,0.06375808152866691,0.6319233046851103,-0.5143249852381875,0.45808170227563405,0.2519782690581722,0.9999999999999998,0.4261707636060386,0.5455077086102179,0.06408313088366141,0.614811871493986,-0.6323650111703394,-0.5598281465949742,-0.3282527419911227,-0.043977686649963085,0.5717452024620843,-0.2818186195231445,-0.2912540144290674
CITED4,0.5372895488066759,-0.13124223608188493,0.2472089132135119,0.4063874002148166,-0.008465106220328021,0.27694305145795556,0.2162743844551724,0.4261707636060386,1.0,0.6031404933360461,0.09491727433368252,0.20832334433875363,0.16022354953923235,-0.25637660898600506,-0.051206721585519165,0.32738241805399054,0.5263361131872406,0.3889665605602836,-0.28121998150093475
NFKBIE,0.6688674095586502,0.17718159306384315,0.31068456946461365,0.27665042725870254,-0.009598297612653902,0.27745565241502895,0.5124633138284208,0.5455077086102179,0.6031404933360462,1.0,0.5124089594567663,0.4567442230413502,-0.17902940084140742,-0.13054235829352567,-0.41058705109968835,0.6294481715731665,0.6312307138917875,0.17157612534084968,-0.7243300292385147
NFKBIA,0.18785909686880956,0.39067058079291916,0.12498383267799693,0.10244820371670352,0.2888938336704871,-0.147202221526635,-0.031884564159481814,0.0640831308836614,0.09491727433368252,0.5124089594567665,0.9999999999999998,0.11953133439233718,-0.17634750218981254,0.3176847877890045,-0.3675541553854116,0.5748440429048939,0.24155120862274526,0.08336963239499127,-0.3305799534879658
NFKB1,0.6551945326302011,0.11603956276562209,0.2067772804338401,0.311698677846064,-0.16986388636993996,0.26517003563483743,0.3396166169304838,0.6148118714939861,0.2083233443387536,0.4567442230413502,0.11953133439233718,1.0,-0.23264794632083527,-0.08186949166145097,-0.1309960972224434,-0.03040278904551917,0.4786543318577321,-0.21579740969520153,-0.3009696360286607
CREBBP,0.017890470784019775,0.051384958729774693,0.17371928296828928,-0.37080343818870604,0.40077620869303293,-0.48405097023945326,0.1517063065384706,-0.6323650111703394,0.16022354953923235,-0.17902940084140742,-0.17634750218981254,-0.23264794632083527,1.0,0.4028853800902651,0.47106567218856693,0.11794947196016821,-0.15504922379290267,0.39360400833709,0.08252787083196936
EGR3,-0.02610634986707564,0.4084375712479335,0.3619684170014828,-0.08136194578277008,0.7967177120014043,-0.3447218119640244,-0.010369783057732545,-0.5598281465949743,-0.2563766089860051,-0.1305423582935257,0.3176847877890045,-0.08186949166145097,0.40288538009026514,1.0,0.23210962761875226,0.0903531768049116,-0.4373722361530893,0.17982957435448937,0.3092629454184538
NFKBIZ,-0.10856670120480953,-0.2007236567181815,0.1272974372589253,-0.21965655423994634,0.24500395611242543,-0.20312819856640268,0.21611950259731755,-0.32825274199112275,-0.051206721585519165,-0.4105870510996883,-0.3675541553854116,-0.1309960972224434,0.47106567218856693,0.23210962761875228,1.0,-0.35269093943889346,0.1307117276227898,-0.008229037542080413,0.33629568758036127
