cell_id,RELA,MAP3K8,BCL3,BRD4,RELB,HDAC1,NFKBIB,NFKB2,EP300,CITED4,NFKBIE,NFKBIA,NFKB1,CREBBP,EGR3,NFKBIZ,NFKBID,KLF2,GREB1
A-431_cell_0,0.21790828,0.40471572,0.47625977,0.4785774,0.28858685,0.55483925,0.32798302,0.37594834,0.1863432,0.3423991,0.44513634,0.4959085,0.23407675,0.46465772,0.43024924,0.29984918,0.5434364,0.2876879,0.25004518
A-431_cell_1,0.23954281,0.42468545,0.47357443,0.3292491,0.5513414,0.35230553,0.3345495,0.3744166,0.36502534,0.19074741,0.4053385,0.48648682,0.35863638,0.10612367,0.27177507,0.19466221,0.40723595,0.31246355,0.15336229
A-431_cell_2,0.24634977,0.22909033,0.4726595,0.28117004,0.26334202,0.3651743,0.28952494,0.2818621,0.14825945,0.077206664,0.2849317,0.35177705,0.10217258,0.2530478,0.2879967,0.21292874,0.42841512,0.1981298,0.20264897
A-431_cell_3,0.23987529,0.39167482,0.37876487,0.28714007,0.30082548,0.3395942,0.44393724,0.37550476,0.2654439,0.18887676,0.3346125,0.10248657,0.27660486,0.22741084,0.22555481,0.23297921,0.3552203,0.2336189,0.22886968
A-431_cell_4,0.23631397,0.44389564,0.44087356,0.30193046,0.41554958,0.38868275,0.30225065,0.38761902,0.21928863,0.26587042,0.34191102,0.35748157,0.2765976,0.33196336,0.35865444,0.2778596,0.32238805,0.30072615,0.26765612
A-431_cell_5,0.24003221,0.4608898,0.5126877,0.48704928,0.4537406,0.40935066,0.40198806,0.43805555,0.3152055,0.26925313,0.38496011,0.16866304,0.2676254,0.16601685,0.29896814,0.3117163,0.37067202,0.32030055,0.19361968
A-431_cell_6,0.23593484,0.26671213,0.52261454,0.34213588,0.23668529,0.472279,0.28152394,0.36755338,0.20685956,0.06817622,0.29398555,0.32223427,0.24695244,0.22772215,0.34968185,0.36294204,0.29844692,0.2838124,0.22628565
A-431_cell_7,0.30633748,0.44470683,0.59922004,0.49012053,0.24428834,0.4839452,0.33170426,0.34032014,0.19999829,0.09137184,0.30335543,0.3784589,0.2754965,0.3587543,0.47105202,0.30327517,0.4188236,0.21364293,0.18958654
A-431_cell_8,0.25669175,0.35210636,0.51865673,0.36006925,0.28310916,0.44029117,0.3483296,0.36019388,0.15897463,0.06663035,0.30862558,0.43841454,0.28240287,0.24781293,0.48206642,0.30837953,0.37005472,0.25722837,0.17584257
A-431_cell_9,0.23124425,0.33413136,0.3692869,0.44509202,0.24060453,0.30960956,0.38561487,0.28000766,0.30075625,0.1666374,0.39552206,0.3707754,0.2989859,0.15276171,0.25121102,0.2159495,0.39407772,0.2952958,0.13963291
A-431_cell_10,0.22359355,0.43376204,0.33647004,0.3660886,0.19178833,0.34859228,0.3471687,0.47353616,0.20335807,0.16298604,0.32880092,0.17142864,0.2825941,0.3754122,0.24114777,0.3984358,0.4182784,0.34955335,0.1669587
A-431_cell_11,0.28076467,0.39942178,0.45629588,0.429012,0.26507857,0.5338111,0.38038412,0.3170784,0.18056518,0.09324656,0.37538013,0.39733705,0.26885474,0.18689893,0.45059735,0.21386275,0.47991306,0.18357028,0.20576626
A-431_cell_12,0.42876425,0.26012215,0.30488592,0.35507202,0.4064073,0.43398967,0.3142735,0.39134794,0.19517902,0.104327135,0.259362,0.15470137,0.21274196,0.3326538,0.45258737,0.38245022,0.2810983,0.18067035,0.16831757
A-431_cell_13,0.3900673,0.2582581,0.45075715,0.4103385,0.26084846,0.449559,0.29494244,0.16206029,0.15237613,0.11991109,0.20783193,0.07345184,0.25129372,0.38686928,0.36165234,0.29526028,0.31383705,0.14709726,0.17911099
A-431_cell_14,0.4298492,0.29032648,0.32444856,0.38015044,0.3111368,0.44119853,0.417456,0.11590293,0.22308937,0.18952592,0.2530129,0.35477263,0.20612104,0.16352274,0.3096691,0.33185023,0.38673234,0.22928779,0.17371456
