cell_id,RELA,MAP3K8,BCL3,BRD4,RELB,HDAC1,NFKBIB,NFKB2,EP300,CITED4,NFKBIE,NFKBIA,NFKB1,CREBBP,EGR3,NFKBIZ,NFKBID,KLF2,GREB1
A-431_cell_0,-0.8686689,0.5809627,0.4166007,1.3964348,-0.26978573,1.9201071,-0.39404774,0.4341374,-0.5721119,2.2706206,1.8686241,1.4072189,-0.40656763,1.978818,0.9397831,0.16626346,2.350003,0.60068536,1.5954847
A-431_cell_1,-0.56705874,0.8383063,0.3834661,-0.7825847,2.4954348,-0.99746543,-0.25635877,0.41745198,2.345443,0.38471693,1.2327454,1.3365515,1.8953,-1.5825131,-0.9051403,-1.5225244,0.31816062,1.0281487,-1.1947637
A-431_cell_2,-0.472162,-1.6822654,0.37217668,-1.4841614,-0.53546154,-0.8120862,-1.2004561,-0.5907487,-1.1939503,-1.0272484,-0.69108045,0.32616058,-2.8441627,-0.123110734,-0.71629125,-1.2292533,0.6341121,-0.94449306,0.22763973
A-431_cell_3,-0.56242365,0.41290882,-0.78639704,-1.3970459,-0.14098686,-1.180577,2.037339,0.4293055,0.71945876,0.361454,0.10270529,-1.5436432,0.37935376,-0.3777635,-1.4432268,-0.90734094,-0.45781052,-0.33218673,0.98436403
A-431_cell_4,-0.6120725,1.0858619,-0.020032642,-1.1812224,1.0663658,-0.47343823,-0.93361706,0.5612667,-0.034172732,1.3189286,0.21931912,0.36894736,0.37921938,0.66076034,0.10629131,-0.18678162,-0.94760275,0.82563895,2.1037328
A-431_cell_5,-0.560236,1.30486,0.8660878,1.5200577,1.468287,-0.17570938,1.1577274,1.1106744,1.5319756,1.3609952,0.90714544,-1.0472865,0.21341276,-0.98759216,-0.5885642,0.35679108,-0.22730117,1.1633632,-0.032943554
A-431_cell_6,-0.617358,-1.1974454,0.9885761,-0.5945393,-0.8159961,0.7307966,-1.3682252,0.3426907,-0.23711692,-1.1395489,-0.5464205,0.10457493,-0.16862425,-0.37467122,0.0018343375,1.1792259,-1.3047572,0.53382003,0.90978956
A-431_cell_7,0.36413532,1.0963154,1.9338177,1.5648737,-0.7359819,0.89885217,-0.31601894,0.046037596,-0.349149,-0.85109365,-0.39671123,0.5262878,0.35887143,0.9268757,1.4148005,0.22126801,0.49102554,-0.6768395,-0.1493394
A-431_cell_8,-0.32798287,-0.096997194,0.93974036,-0.33285302,-0.3274328,0.26999992,0.03258969,0.26252323,-1.0189908,-1.158773,-0.3125062,0.97598535,0.4865013,-0.17510885,1.5430279,0.3032191,-0.23651,0.075156115,-0.5459874
A-431_cell_9,-0.68275017,-0.3286353,-0.90334654,0.9078114,-0.7747501,-1.6125165,0.81440604,-0.61094934,1.2960453,0.08489073,1.0759012,0.4686578,0.79295635,-1.1192559,-1.1445427,-1.1807547,0.12186575,0.7319473,-1.5909908
A-431_cell_10,-0.78940976,0.95527345,-1.3082764,-0.24501775,-1.2884903,-1.0509561,0.008247565,1.4971665,-0.2942899,0.03948323,0.00984964,-1.0265431,0.49003544,1.0923392,-1.2616968,1.749082,0.48289216,1.6680725,-0.80237395
A-431_cell_11,0.007621122,0.5127415,0.17026459,0.67316943,-0.5171861,1.6171888,0.70472497,-0.20713574,-0.66645634,-0.8277802,0.7540791,0.6678835,0.23613113,-0.78016967,1.1766715,-1.2142577,1.4023597,-1.1956937,0.31760418
A-431_cell_12,2.0709047,-1.2823683,-1.6979955,-0.4057732,0.9701528,0.1792246,-0.68151575,0.6018861,-0.42783895,-0.6899848,-1.0996255,-1.152006,-0.80083567,0.6676184,1.1998389,1.4924318,-1.5635643,-1.2457273,-0.7631573
A-431_cell_13,1.531425,-1.3063897,0.10192171,0.40068293,-0.5617037,0.40350652,-1.0868593,-1.8957561,-1.1267323,-0.49618647,-1.9229585,-1.7614183,-0.0883973,1.2061428,0.14119229,0.09258816,-1.0751668,-1.8249761,-0.4516615
A-431_cell_14,2.0860302,-0.89313483,-1.4566106,-0.039825413,-0.0324707,0.2830708,1.482067,-2.3985505,0.02788636,0.36952674,-1.20107,0.34862894,-0.9231904,-1.0123663,-0.46398574,0.68004364,0.012287186,-0.40691298,-0.60740125
