image_path,gene_name,cell_line_name
./example_images/cell_1.tiff,COL12A1,U-251MG
./example_images/cell_1.tiff,COL14A1,U-251MG
./example_images/cell_1.tiff,COL1A1,U-251MG
./example_images/cell_1.tiff,P4HB,U-251MG
./example_images/cell_1.tiff,COL18A1,U-251MG
./example_images/cell_1.tiff,ATG9A,U-251MG
./example_images/cell_1.tiff,KIF7,U-251MG
./example_images/cell_1.tiff,KRBA1,U-251MG
./example_images/cell_1.tiff,KIF18B,U-251MG
./example_images/cell_1.tiff,FIP1L1,U-251MG
./example_images/cell_1.tiff,CPSF2,U-251MG
./example_images/cell_1.tiff,CPSF4,U-251MG
./example_images/cell_1.tiff,SYMPK,U-251MG
./example_images/cell_1.tiff,WDR33,U-251MG
./example_images/cell_1.tiff,TTC28,U-251MG
./example_images/cell_2.tiff,COL12A1,U-251MG
./example_images/cell_2.tiff,COL14A1,U-251MG
./example_images/cell_2.tiff,COL1A1,U-251MG
./example_images/cell_2.tiff,P4HB,U-251MG
./example_images/cell_2.tiff,COL18A1,U-251MG
./example_images/cell_2.tiff,ATG9A,U-251MG
./example_images/cell_2.tiff,KIF7,U-251MG
./example_images/cell_2.tiff,KRBA1,U-251MG
./example_images/cell_2.tiff,KIF18B,U-251MG
./example_images/cell_2.tiff,FIP1L1,U-251MG
./example_images/cell_2.tiff,CPSF2,U-251MG
./example_images/cell_2.tiff,CPSF4,U-251MG
./example_images/cell_2.tiff,SYMPK,U-251MG
./example_images/cell_2.tiff,WDR33,U-251MG
./example_images/cell_2.tiff,TTC28,U-251MG
